Title,Director,Cast,Genre
*1971*,Amrit Sagar,"Manoj Bajpai, Ravi Kishan",War
*50 Lakh*,Chandra Sekhar Yeleti,"Pawan Malhotra, Mohit Chadda",Remake
*68 Pages*,,,
*Aaja Nachle*,Anil Mehta,"Madhuri Dixit, Akshaye Khanna, Kunal Kapoor, Konkona Sen Sharma, Ranvir 
Shorey",Musical
*Aap Ka Suroor - The Real Love Story*,Prashant Chadda,"Himesh Reshammiya, Hansika Motwani, Mallika Sherawat",Drama
*Aggar*,Anant Mahadevan,"Shreyas Talpade, Tushar Kapoor, Udita Goswami","Drama, Thriller"
*Anjaam*,Anant Mahadevan,"Emraan Hashmi, Tushar Kapoor",Thriller
*Anwar*,Manish Jha,"Manisha Koirala, Rajpal Yadav, Nauheed Cyrusi",Drama
*Apna Asmaan*,Kaushik Roy,"Irrfan Khan, Shobana",
*Apne*,Anil Sharma,"Dharmendra, Sunny Deol, Bobby Deol, Shilpa Shetty, Katrina Kaif, Divya Dutta, 
Kirron Kher","Family, Drama, Sports"
*Aur Pappu Pass Ho Gaya*,S. Soni,"Krishna Abhishek, Kashmira Shah, Jackie Shroff",
*Awarapan*,Mohit Suri,"Emraan Hashmi, Shriya Saran, Mrinalini Sharma, Ashutosh Rana","action, Drama"
*Benaam*,Anees Bazmee,"Ajay Devgan, Bhoomika Chawla, Sameera Reddy, Mukesh Tiwari",Action
*Bhram*,Pavan Kaul,"Dino Morea, Milind Soman, Sheetal Menon",Thriller
*Bheja Fry*,Sagar Ballary,"Vinay Pathak, Sarika, Rajat Kapoor",Comedy
*Bhool Bhulaiyaa*,Priyadarshan,"Akshay Kumar, Vidya Balan, Amisha Patel, Shiney Ahuja","Mystery, Thriller, Comedy"
*Big Brother*,Guddu Dhanoa,"Sunny Deol, Priyanka Chopra, Raju Srivastava","Action, Drama, Romance, Crime"
*Blood Brothers*,,Ayesha Takia,
*Bombay to Goa*,Raj Pendurkar,"Sunil Pal, Raju Shrivastav, Asrani, Vijay Raaz, Tinu Anand",Comedy
*Buddha Mar Gaya*,,"Rakhi Sawant, Anupam Kher, Om Puri, Paresh Rawal",Comedy
*Cash*,Anubhav Sinha,"Ajay Devgan, Sunil Shetty, Zayed Khan, Ritesh Deshmukh, Esha Deol, Shamita 
Shetty, Diya Mirza, Ayesha Takia",Thriller
*Chanchal*,,,
*Cheeni Kum*,R. Balki,"Amitabh Bachchan, Tabu, Paresh Rawal, Zohra Sehgal","Romance, Comedy, Drama"
*Chhodon Naa Yaar*,,"Jimmy Shergill, Kim Sharma",
*Chooriyan*,,"Vinod Khanna, Sudhanshu Pandey, Vikas Bhalla",Adult
*Cocktail: The Deadly Combination*,,,
*Darling*,Ram Gopal Verma,"Fardeen Khan, Isha Koppikar, Esha Deol","Thriller, Horror, Romance, Mystery"
*Delhii Heights*,Anand Kumar,"Jimmy Shergill, Neha Dhupia, Om Puri",
*Dhamaal*,Indra Kumar,"Javed Jaffrey, Sanjay Dutt, Ritesh Deshmukh, Arshad Warsi, Aashish Chaudhary",Comedy
*Dhan Dhana Dhan Goal*,Vivek Agnihotri,"John Abraham, Bipasha Basu, Arshad Warsi, Boman Irani",Sports
*Dharm*,Bhavna Talwar,"Pankaj Kapoor, Hrishitaa Bhatt, Supriya Pathak",
*Dhokha*,Pooja Bhatt,"Muzammil Ibrahim, Tulip Joshi, Anupam Kher",
*Dhol*,Priyadarshan,"Kunal Khemu, Sharman Joshi, Rajpal Yadav, Tusshar Kapoor, Tanushree Dutta, Tara 
Sharma, Arbaaz Khan",Comedy
*Dil Dosti Etc*,Manish Tiwary,"Shreyas Talpade, Nikita Anand, Imaad Shah, Smriti Mishra, Ishita Sharma",
*Dus Kahaniyaan*,Sanjay Gupta,"Sanjay Dutt, Sunil Shetty, Arbaaz Khan, Nana Patekar, Dino Morea, Manoj 
Bajpai, Aftab Shivdasani, Diya Mirza, Amrita Singh, Neha Dhupia, Minissha 
Lamba, Tarina Patel, Naseeruddin Shah, Shabana Azmi, Anupam Kher, Natassha",Drama
*Ek Chalis Ki Last Local*,Sanjay Khanduri,"Abhay Deol, Neha Dhupia",
*Eklavya: The Royal Guard*,Vidhu Vinod Chopra,"Amitabh Bachchan, Sharmila Tagore, Sanjay Dutt, Saif Ali Khan, Vidya Balan, Jimmy 
Shergill, Jackie Shroff, Raima Sen",Drama
*Familywala*,Neeraj Vora,"Arjun Rampal, Dia Mirza",
*Fool n Final*,Ahmed Khan,"Shahid Kapoor, Sunny Deol, Ayesha Takia, Paresh Rawal, Arbaaz Khan, Vivek 
Oberoi, Jackie Shroff, Gulshan Grover, Om Puri, Sharmila Tagore, Johnny 
Lever","action, Comedy, Romance, Musical"
"*Gandhi, My Father*",Feroz Abbas Khan,"Akshaye Khanna, Shefali Shah, Bhumika Chawla",Drama
*Gangotri*,Abhishek Chhadha,"Amitabh Bachchan, Bhumika Chawla",Drama
*Gauri: The Unborn*,Akku Akbar,"Rituparna Sengupta, Atul Kulkarni",Horror
*Go*,Manish Shrivastava,"Nisha Kothari, Kay Kay Menon, Rajpal Yadav",
"*Good Boy, Bad Boy*",Ashwini Chaudhary,"Emraan Hashmi, Tusshar Kapoor, Isha Sharvani, Tanushree Dutta, Paresh Rawal",Comedy
*Guru*,Mani Ratnam,"Abhishek Bachchan, Aishwarya Rai, Mithun Chakraborty, Vidya Balan, R. 
Madhavan","Drama, Romance"
*Har Pal*,Jahnu Barua,"Preity Zinta, Shiney Ahuja, Dharmendra, Isha Koppikar",Romance
*Hastey Hastey*,,"Jimmy Shergill, Rajpal Yadav, Nisha Rawal, Monishka",Comedy
*Hattrick*,Milan Luthria,"Paresh Rawal, Rimi Sen, Kunal Kapoor, Nana Patekar, Danny Denzongpa",Comedy
*Heyy Babyy*,Sajid Khan,"Akshay Kumar, Ritesh Deshmukh, Fardeen Khan, Vidya Balan, Boman Irani, Anupam 
Kher, Shahrukh Khan","Comedy, Drama, Romance"
*Honeymoon Travels Pvt. Ltd.*,Reema Kagti,"Shabana Azmi, Boman Irani, Amisha Patel, Sandhya Mridul, Diya Mirza, Minissha 
Lamba, Kay Kay Menon, Arjun Rampal, Ranvir Shorey, Raima Sen, Karan Khanna, Vikram 
Chatwal, Abhay Deol","Comedy, Drama, Romance"
*Jab We Met*,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Pawan Malhotra, Dara Singh","Romance, Comedy"
*Jahan Jaaeyega Hamen Paaeyega*,Janmendra Ahuja,"Govinda, Sakshi Sivanand",Comedy
*Jhoom Barabar Jhoom*,Shaad Ali,"Abhishek Bachchan, Preity Zinta, Bobby Deol, Lara Dutta","Romance, Comedy"
*Johnny Gaddar*,Sriram Raghavan,"Neil Mukesh, Dharmendra, Vinay Pathak, Zakir Hussain, Rimi Sen, Dayanand 
Shetty",Thriller
*Just Married*,Meghna Gulzar,"Fardeen Khan, Esha Deol","Drama, Romance, Social, Comedy"
*Kaafila*,Ammtoje Mann,Sunny Deol,"action, Patriotic"
*Khoya Khoya Chand*,Sudhir Mishra,"Shiney Ahuja, Soha Ali Khan","Romance, Drama"
*Kudiyon Ka Hai Zamana*,Amur Batula,"Mahima Chaudhry, Rekha, Ashmit Patel, Kim Sharma",Comedy
*Kya Love Story Hai*,Lovely Singh,"Tusshar Kapoor, Ayesha Takia",Romance
*Laaga Chunari Mein Daag*,Pradeep Sarkar,"Jaya Bachchan Rani Mukerji, Abhishek Bachchan, Konkona Sen Sharma, Kunal 
Kapoor, Anupam Kher",Drama
*Life in a Metro*,Anurag Basu,"Shilpa Shetty, Sharman Joshi, Konkona Sen Sharma, Shiney Ahuja, Kay Kay 
Menon, Irrfan Khan, Kangana Ranaut, Dharmendra",Drama
*Life Mein Kabhie Kabhiee*,Vikram Bhatt,"Dino Morea, Aftab Shivdasani, Anjori Alagh, Nauheed Cyrusi, Sameer Dattani",Thriller
