*Opening*,,Title,Director,Cast,Genre
*JAN*,*4*,*Rama Rama Kya Hai Drama*,S. Chandrakaant,"Rajpal Yadav, Neha Dhupia, Aashish Chaudhary, Amrita Arora, Anupam Kher, Rati 
Agnihotri, Alan Kapoor",Comedy
,*11*,*Halla Bol*,Rajkumar Santoshi,"Ajay Devgan, Vidya Balan, Pankaj Kapoor",Social
,*18*,*Bombay to Bangkok*,Nagesh Kukunoor,"Shreyas Talpade, Lena Christensen","Comedy, Drama, Romance"
,,*Tulsi*,,"Irrfan Khan, Manisha Koirala",
,*25*,*Sunday*,Rohit Shetty,"Ajay Devgan, Ayesha Takia, Arshad Warsi, Irrfan Khan, Anjana Sukhani","Action, Comedy, Romance, Thriller, Suspense, Crime"
*FEB*,*8*,*Superstar*,Rohit Jugraj,"Kunal Khemu, Tulip Joshi, Aushima Sawhney, Reema Lagoo, Sharat Saxena",Drama
,*15*,*Jodhaa Akbar*,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Ila Arun","History, Romance"
*MAR*,*7*,*Black and White*,Subhash Ghai,"Anil Kapoor, Anurag Sinha, Shefali Chhaya, Aditi Sharma, Anurag Singh","Social, Drama, History"
,*21*,*Race*,Abbas Mustan,"Anil Kapoor, Saif Ali Khan, Akshay Khanna, Bipasha Basu, Sameera Reddy Katrina 
Kaif","Crime, Thriller"
,*28*,*One Two Three*,Ashwani Dheer,"Tushar Kapoor, Paresh Rawal, Suniel Shetty, Esha Deol, Sameera Reddy, Upen 
Patel, Neetu Chandra, Tanisha","Comedy, Drama"
*APR*,*4*,*Shaurya*,Samar Khan,"Rahul Bose, Minissha Lamba, Javed Jaffrey, Kay Kay Menon, Amrita Rao",Drama
,*11*,*Krazzy 4*,Jaideep Sen,"Juhi Chawla, Arshad Warsi, Irrfan Khan, Suresh Menon, Rajpal Yadav, Dia 
Mirza",Comedy
,,*U Me Aur Hum*,Ajay Devgan,"Ajay Devgan, Kajol, Karan Khanna, Isha Sharvani, Sumeet Raghavan, Divya 
Dutta",Romance
,*25*,*Sirf*,Rajaatesh Nayar,"Kay Kay Menon, Manisha Koirala, Ranvir Shorey, Sonali Kulkarni","Drama, Romance"
,,*Tashan*,Vijay Krishna Acharya,"Anil Kapoor, Akshay Kumar, Saif Ali Khan, Kareena Kapoor","action, Romance"
*MAY*,*2*,*Mr. White Mr. Black*,,"Sunil Shetty, Arshad Warsi",Comedy
,,*Anamika*,Anant Mahadevan,"Dino Morea, Minissha Lamba, Koena Mitra, Aarti Chabria, Gulshan Grover",Thriller
,*9*,*Jimmy*,Raj N. Sippy,"Mimoh Chakraborty, Rati Agnihotri, Vikas Anand","Drama, action, Crime, Thriller, Romance"
,,*Bhoothnath*,Vivek Sharma,"Amitabh Bachchan, Juhi Chawla, Shahrukh Khan, Aman Siddiqui, Priyanshu 
Chatterjee, Rajpal Yadav, Satish Shah, Aashish Chaudhary, Nauheed Cyrusi","Comedy, Drama, Fantasy"
,*16*,*Jannat*,Kunal Deshmukh,"Emraan Hashmi, Sonal Chauhan, Sameer Kochhar, Javed Shaikh","Drama, Romance"
,*23*,*Don Muthu Swami*,Ashim Samanta,"Hrishita Bhatt, Mithun Chakraborty, Shakti Kapoor, Rohit Roy",Comedy
