Opening,,Title,Director,Cast,Genre,
*JAN*,*16*,*Chandni Chowk to China*,Nikhil Advani,"Akshay Kumar, Deepika Padukone, Mithun Chakraborty, Ranvir Shorey",Action/ Comedy,
,*23*,*Aasma: The Sky Is the Limit*,Rohit Nayyar,"Hrishitaa Bhatt, Seema Biswas, Nauheed Cyrusi, Mansi Dovhal, Ravi Gossain",Drama film,
,,*Raaz – The Mystery Continues*,Mohit Suri,"Emraan Hashmi, Kangana Ranaut, Adhyayan Suman, Jackie Shroff",Horror film,
,*30*,*Luck by Chance*,Zoya Akhtar,"Farhan Akhtar, Konkona Sen Sharma, Hrithik Roshan, Juhi Chawla, Rishi Kapoor, 
Sanjay Kapoor, Dimple Kapadia, Isha Sharvani, Shah Rukh Khan",Drama film,
,,*Victory*,AjitPal Mangat,"Harman Baweja, Amrita Rao, Anupam Kher, Gulshan Grover",Sports film,
*FEB*,*6*,*Dev.D*,Anurag Kashyap,"Abhay Deol, Mahi Gill, Kalki Koechlin",Romance,
,,*Chal Chala Chal*,T. K. Rajeev Kumar,"Govinda, Rajpal Yadav, Reemma Sen, Om Puri",Comedy,
,,*Mere Khwabon Mein Jo Aaye*,Madhureeta Anand,"Arbaaz Khan, Randeep Hooda, Raima Sen","Drama, Fantasy, Musical",
,*13*,*Billu*,Priyadarshan,"Irrfan Khan, Shah Rukh Khan, Lara Dutta, Om Puri, Rajpal Yadav, Asrani",Drama film,
,,*The Stoneman Murders*,Manish Gupta,"Kay Kay Menon, Arbaaz Khan, Vikram Gokhale, Rukhsar","Crime, Drama, Mystery",
,*20*,*Delhi-6*,Rakeysh Omprakash Mehra,"Abhishek Bachchan, Sonam Kapoor, Amitabh Bachchan, Waheeda Rehman, Divya 
Dutta, Rishi Kapoor, Om Puri, Atul Kulkarni, Prem Chopra, Akshay Kumar",Romance Drama,
,*27*,*Kisse Pyaar Karoon*,Ajay Chandock,"Arshad Warsi, Aashish Chaudhary, Aarti Chhabria, Yash Tonk, Udita Goswami",Romance,
*MAR*,*6*,*13B*,Vikram K. Kumar,"Madhavan, Neetu Chandra, Saranya, Poonam Dhillon, Ravibabu, Sachin Khedekar, 
Deepak Dobriyal, Murli Sharma",Horror film,
,,*Dhoondte Reh Jaaoge*,Umesh Shukla,"Kunal Khemu, Paresh Rawal, Soha Ali Khan, Sonu Sood, Asrani, Johnny Lever",Comedy,
,,*Karma Aur Holi*,Manish Gupta,"Sushmita Sen, Randeep Hooda, Naomi Campbell, Suresh Oberoi, Suchitra 
Krishnamoorthi",Drama,
,*13*,*Jai Veeru*,Puneet Sira,"Fardeen Khan, Kunal Khemu, Dia Mirza, Anjana Sukhani",Action comedy,
,,*Little Zizou*,Sooni Taraporevala,"Boman Irani, John Abraham, Kurush Deboo",Comedy,
,,*Gulaal*,Anurag Kashyap,"Kay Kay Menon, Deepak Dobriyal, Piyush Mishra, Mahi Gill, Jesse Randhawa, Aditya 
Shrivastava",Drama,
,*20*,*Aloo Chaat*,Robby Grewal,"Aftab Shivdasani, Aamna Sharif, Linda Arsenio, Kulbhushan Kharbanda, Manoj 
Pahwa, Sanjay Mishra'",Romantic comedy,
,,*Barah Aana*,Raja Menon,"Naseeruddin Shah, Tannishtha Chatterjee",Drama,
,,*Firaaq*,Nandita Das,"Deepti Naval, Naseeruddin Shah, Paresh Rawal, Raghubir Yadav",Political,
,,*Lottery*,Hemant Prabhu,"Abhijeet Sawant, Sanjay Narvekar, Mukesh Tiwari, Rucha Gujarati, Manisha 
Kelkar",Comedy,
,,*Straight*,Parvati Balagopalan,"Daman Baggan, Anuj Chaudhary, Ketki Dave, Siddharth Makkar, Gul Panag, Vinay 
Pathak",Romantic comedy,
,*27*,*Aa Dekhen Zara*,Jehangir Surti,"Neil Mukesh, Bipasha Basu, Rahul Dev, Sophie Choudry",Action Thriller,
,,*99*,"Krishna DK, Raj Nidimoru","Vinod Khanna, Kunal Khemu, Soha Ali Khan, Boman Irani, Mahesh Manjrekar, 
Simone Singh",Comedy,
,,*Ek: The Power of One*,Sangeeth Sivan,"Bobby Deol, Shriya Saran, Nana Patekar, Chunky Pandey, Pradeep, Kulbhushan 
Kharbanda, Jackie Shroff",Action Thriller,
*APR*,*3*,*8 x 10 Tasveer*,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Sharmila Tagore, Javed Jaffrey",Action Thriller,
,*10*,*Ek Se Bure Do*,Tarique,"Arshad Warsi, Anita Hassanandani, Rajpal Yadav, Govind Namdeo, Yashpal 
Sharma, Virendra Saxena, Vijay Raaz and Razzak Khan",Comedy,
,,*Pal Pal Dil Ke Saath*,V Krishna Kumar,"Ajay Jadeja, Mahie Gill, Satish Shah, Sushma Seth, Vinod Kambli, Sylvie",Drama,
,,*Coffee House*,Gurbir Grewal,"Ashutosh Rana, Sakshi Tanwar, Harsh Chhaya",Drama,
,,*School Days*,Dilip Sood,"Pankaj Sharma, Rajiv Sethi, Virender Sharma, Shailly Sehgal",,
,,*Royal Utsav*,Ravi K. Patwa,"Vikram Kumar, Monalisa, Sudesh Berry, Master Abhishek Sharma, Tripta 
Chopra, Antra Vishwas, Charu Arora",Historical drama,
,*17*,*Chowrasta Crossroads of Love*,Anjan Dutt,"Victor Banerjee, Atul Kulkarni, Roopa Ganguly, Naved Aslam, Aparajita",Drama,
,,*Meri Padosan*,Prakash Saini,"Sarvar Ahuja, Saadhika Randhawa, Hina Tasleem, Sneha Dhabi, Sanjay Mishra, 
Ashok Bagla, Khayali",Comedy,
,*22*,*Sikandar*,Piyush Jha,"Parzan Dastur, Ayesha Kapur, R. Madhavan, Sanjay Suri",Social,
*MAY*,*6*,*Sanam Teri Kasam*,Lawrence D'Souza,"Saif Ali Khan, Pooja Bhatt, Atul Agnihotri",Comedy Romance,
,,*Team - The Force*,Ajay Chandhok,"Sohail Khan, Amrita Arora, Yash Tonk",Action,
*JUN*,*12*,*Kal Kissne Dekha*,Vivek Sharma,,"Jackky Bhagnani, Vaishali Desai, Rishi Kapoor, Juhi Chawla, Riteish Deshmukh, 
Sanjay Dutt, Dalip Tahil","Romance, Drama, Social, Comedy"
,,*Zor Lagaa Ke...Haiya!*,Girish Girija Joshi,"Mithun Chakraborty, Mahesh Manjrekar, Sachin Khedekar, Raj Zutshi, Ashwin 
Chitale, Gulshan Grover",,
,*19*,*Let's Dance*,Aarif Sheikh,"Ajay Chaudhary, Gayatri Patel",Romance,
,,*Paying Guests*,Paritossh Painter,"Shreyas Talpade, Javed Jaffrey, Aashish Chaudhary, Chunky Pandey, Vatsal 
Sheth, Johnny Lever, Celina Jaitly, Riya Sen, Neha Dhupia",Comedy,
,*26*,*New York*,Kabir Khan,"John Abraham, Katrina Kaif, Neil Mukesh, Irrfan Khan","Action Thriller, Romance",
*JUL*,*3*,*Kambakkht Ishq*,Sabbir Khan,"Akshay Kumar, Kareena Kapoor, Aftab Shivdasani, Amrita Arora, Javed Jaffrey, 
Kirron Kher, Boman Irani","Action, Comedy, Romance",
,*10*,*Sankat City*,Pankaj Advani,"Kay Kay Menon, Anupam Kher, Rimi Sen, Chunky Pandey",Dark Comedy,
,,*Shortkut*,Neeraj Vora,"Akshaye Khanna, Arshad Warsi, Amrita Rao",Comedy,
,*17*,*Jashnn*,Raksha Mistry & Hasnain S Hyderabadwala,"Adhyayan Suman, Anjana Sukhani, Shahana Goswami, Humayun Saeed",Musical,
,*24*,*Luck*,Soham Shah,"Sanjay Dutt, Imran Khan, Shruti Haasan, Mithun Chakraborty, Danny Denzongpa, 
Ravi Kishan, Rati Agnihotri",Action thriller,
,*31*,*Love Aaj Kal*,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna, Neetu Singh",Romance,
*AUG*,*7*,*Chal Chalein*,Ujjwal Singh,"Mithun Chakraborty, Rati Agnihotri, Shilpa Shukla, Mukesh Khanna",Social,
,*10*,*Teree Sang*,Satish Kaushik,"Ruslaan Mumtaz, Sheena Shahabadi, Neena Gupta",Drama,
,*14*,*Kaminey*,Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra, Amole Gupte",Drama,
,,*Life Partner*,Rumi Jaffrey,"Govinda, Fardeen Khan, Tusshar Kapoor, Genelia D'Souza, Prachi Desai, Amrita 
Rao, Anupam Kher","Comedy, Romance",
,*28*,*Daddy Cool*,K. Murli Manohar Rao,"Suniel Shetty, Aftab Shivdasani, Aarti Chabria, Aashish Chaudhary, Javed 
Jaffrey, Rajpal Yadav, Sophie Chaudhry, Tulip Joshi, Chunky Pandey, Prem 
Chopra, Kim Sharma",Comedy,
,,*Kisaan*,Puneet Sira,"Jackie Shroff, Sohail Khan, Arbaaz Khan, Diya Mirza, Nauheed Cyrusi",Social,
,,*Love Khichdi*,Srinivas Bhashyam,"Randeep Hooda, Rituparna Sengupta, Divya Dutta",Comedy,
,,*Quick Gun Murugun*,Shashanka Ghosh,"Rajendra Prasad, Sandhya Mridul, Nassar",Comedy,
,,*Toss*,Ramesh Khatkar,"Prashant Raj Sachdev, Ashmit Patel, Rannvijay Singh",Thriller,
,,*Yeh Mera India*,N. Chandra,"Anupam Kher, Perizaad Zorabian, Purab Kohli, Rajpal Yadav, Sarika, Seema 
Biswas",Social,
