Title,Director,Cast,Genre
*Dulha Mil Gaya*,Muddassar Aziz,"Fardeen Khan, Ishita Sharma, Sushmita Sen, Shahrukh Khan, Tara Sharma, Anushka 
Manchanda, Mohit Chadda, Vivek Vaswani, Johny Lever",Romantic comedy
*Pyaar Impossible!*,Jugal Hansraj,"Priyanka Chopra, Uday Chopra, Anupam Kher, Dino Morea",Romantic comedy
*Chance Pe Dance*,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza","Comedy, Romance"
*Hello! Hum Lallan Bol Rahe Hain*,Dileep Shukla,"Rajpal Yadav, Preeti Mehra",Comedy
*The Waiting Room*,Maneej Premnath,"Raj Singh Chaudhary, Radhika Apte",Thriller
*Veer*,Anil Sharma,"Salman Khan, Zarine Khan, Mithun Chakraborty, Sohail Khan, Jackie Shroff",Epic film
*Ishqiya*,Abhishek Chaubey,"Naseeruddin Shah, Vidya Balan, Arshad Warsi","Comedy, Crime, Romance"
*Rann*,Ram Gopal Varma,"Amitabh Bachchan, Sudeep, Ritesh Deshmukh, Paresh Rawal, Rajpal Yadav, Gul 
Panag",Drama
*Road to Sangam*,Amit Rai,"Paresh Rawal, Om Puri, Javed Sheikh",Drama
*The Hangman*,Vishal Bhandari,"Om Puri, Shreyas Talpade, Gulshan Grover, Smita Jaykar, Tom Alter, Anita 
Kanwar, Yatin Karyekar, Nazneen Ghaani, Amrita Bedi",Drama
*Striker*,Chandan Arora,"Siddharth Narayan, Aditya Pancholi, Ankur Vikal, Anupam Kher, Seema Biswas",Action
*My Name Is Khan*,Karan Johar,"Shahrukh Khan, Kajol, Jimmy Shergill",Drama
*Sukhmani*,Manjeet Mann,"Gurdas Maan, Juhi Chawla, Divya Dutta",Drama
*Aakhari Decision*,Deepak Bandhu,"Anant Jog, Nagesh Bhonsle, Mushtaq Khan",Action
*Click*,Sangeeth Sivan,"Shreyas Talpade, Sada, Sneha Ullal",Horror
*Toh Baat Pakki!*,Kedar Shinde,"Tabu, Sharman Joshi, Vatsal Sheth",Comedy
*Karthik Calling Karthik*,Vijay Lalwani,"Farhan Akhtar, Deepika Padukone, Ram Kapoor, Shefali Shah",Thriller
*Teen Patti*,Leena Yadav,"Amitabh Bachchan, Ben Kingsley, R. Madhavan, Saira Mohan, Raima Sen, Jackie 
Shroff, Ajay Devgn, Mahesh Manjrekar,shraddha kapoor","Drama, Thriller"
*Atithi Tum Kab Jaoge?*,Ashwani Dhir,"Ajay Devgn, Konkona Sen Sharma, Paresh Rawal, Satish Kaushik",Comedy
*Hello Zindagi*,Raja Unnithan,"Mrunmayee Lagoo, Milind Gunaji, Neena Gupta, Kanwaljeet Singh",Drama
"*Road, Movie*",Dev Benegal,"Abhay Deol, Satish Kaushik, Tannishtha Chatterjee, Mohammed Faisal Usmani",Drama
*Rokkk*,Rajesh Ranshinge,"Udita Goswami, Shaad Randhawa, Nishigandha Wad, Tanushree Dutta",Thriller
*Thanks Maa*,Irfan Kamal,"Alok Nath, Raghuveer Yadav, Barry John, Sanjay Mishra",Drama
*Do Dilon Ke Khel Mein*,Akash Pandey,"Rajesh Khanna, Nausheen Ali Sardar, Sonika Gill, Satish Kaushik",Romantic Comedy
*Hide & Seek*,Shawn Arranha,"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Samir Kochhar",Thriller
*Na Ghar Ke Na Ghaat Ke*,Rahul Aggarwal,"Rahul Aggarwal, Paresh Rawal, Narayani Shastri, Om Puri",Comedy
*Right Yaaa Wrong*,Neeraj Pathak,"Sunny Deol, Irrfan Khan, Eesha Koppikhar, Konkona Sen Sharma",Action
*Trump Card*,Arshad Khan,"Vikrum Kumar, Urvashi Chowdhary, Mansi Dovhal, Sheetal Bedi",Action/Thriller
*Idiot Box*,Sunanda Mitra,"Sushant Singh, Hrishita Bhatt, Jyoti Gauba, Milind Gunaji",Drama
*Lahore*,Sanjay Puran Singh Chauhan,"Aanaahad, Shraddha Das, Farooq Sheikh, Nafisa Ali",Sports/Social
*Love Sex aur Dhokha*,Dibakar Banerjee,"Amit Sial, Anshuman Jha, Arya Banerjee, Atul Mongia, Neha Chauhan, Shruti",Found footage
*Shaapit*,Vikram Bhatt,"Aditya Narayan, Shweta Agarwal, Rahul Dev, Shubh Joshi",horror
*Hum Tum Aur Ghost*,Kabeer Kaushik,"Dia Mirza, Sandhya Mridul, Boman Irani",Comedy
*It's a Man's World*,Saurabh Sengupta,"Mohsin Akhtar, Mouli Ganguly, Ranjeet Jha, Mikhil Chindaramani",Social
*Mittal v/s Mittal*,Karan Razdan,"Rituparna Sengupta, Rohit Roy, Gulshan Grover, Suchitra Krishnamurthy",Romance
*My Friend Ganesha 3*,Rajiv S. Ruia,"Rahul Pendkalkar, Baba Sehgal, Eva Grover, Sayaji Shinde",Animation
*Prem Kaa Game*,Ashok Kheny,"Arbaaz Khan, Tara Sharma, Madhuri Bhattacharya, Malaika Arora, Johnny Lever",Comedy
*Well Done Abba*,Shyam Benegal,"Boman Irani, Minissha Lamba, Sameer Dattani, Ravi Kissen",Social
*Pankh*,Sudipto Chattopadhyaya,"Bipasha Basu, Maradona Rebello, Mahesh Manjrekar, Ronit Roy Sanjeeda Sheikh",Social
*Sadiyaan*,Raj Kanwar,"Luv Sinha, Ferena Wazeir, Rekha, Hema Malini, Rishi Kapoor",Romance
*Tum Milo Toh Sahi*,Kabir Sadanand,"Nana Patekar, Dimple Kapadia, Rehan Khan, Sunil Shetty, Vidya Malvade, Anjana 
Sukhani, Mohnish Behl",Social/Drama
*Jaane Kahan Se Aayi Hai*,Milap Zaveri,"Ritesh Deshmukh, Jacqueline Fernandez",Comedy/Romance/Fantasy
*Prince - It's Showtime*,Kookie V Gulati,"Vivek Oberoi, Aruna Shields, Nandana Sen, Neeru Bajwa, Sanjay Kapoor",Action/Thriller
*The Japanese Wife*,Aparna Sen,"Rahul Bose, Raima Sen, Chigasu Takaku, Moushmi Chatterjee",Romance
*Paathshaala*,Milind Ukey,"Shahid Kapoor, Nana Patekar, Ayesha Takia, Swini Khara",Social
*Phoonk 2*,Milind Gadagkar,"Sudeep, Neeru Bajwa, Amruta Khanvilkar, Ahsaas Channa",Horror
*Apartment*,Jagmohan Mundhra,"Rohit Roy, Tanushree Dutta, Neetu Chandra, Anupam Kher",Thriller
*Bird Idol*,Jyotin Goel,,Animation
*City of Gold*,Mahesh Manjrekar,"Vineet Kumar, Sameer Dharmadhikari, Kashmira Shah, Satish Kaushik",Social
*Kuchh Kariye*,Jagbir Dahiya,"Sukhwinder Singh, Vikrum Kumar, Rufy Khan",
*Muskurake Dekh Zara*,Som Shekar,"Gashmeer Mahajani, Twinkle Patel, Sunil Sabarwal, Simran Suri",Romantic Comedy
*Chase*,Jagmohan Mundhra,"Udita Goswami, Caterina Murino, Rajesh Khattar, Shweta Menon",Action
*Housefull*,Sajid Khan,"Akshay Kumar, Arjun Rampal, Deepika Padukone, Ritesh Deshmukh, Lara Dutta, Malaika 
Arora, Randhir Kapoor, Jiah Khan, Boman Irani, Jacqueline Fernandez",Comedy
*Badmaash Company*,Parmeet Sethi,"Shahid Kapoor, Anushka Sharma, Meiyang Chang, Vir Das, Harry Mearing",Romance/Drama
*It's a Wonderful Afterlife*,Gurinder Chadha,"Shabana Azmi, Shaheen Khan, Goldy Notay, Sally Hawkins",Drama
*Admissions Open*,K.D. Satyam,"Anupam Kher, Aashish Vidyarthi, Ankur Khanna, Pramod Moutho",Drama
*Bumm Bumm Bole*,Priyadarshan,"Darsheel Safary, Atul Kulkarni, Rituparna Sengupta, Ziyah Vastani",Children/Drama
*Kushti*,T K Rajeev Kumar,"Rajpal Yadav, Khali, Nargis, Sharat Saxena",Comedy/Romance
*Kites*,Anurag Basu,"Hrithik Roshan, Kangana Ranaut, Bárbara Mori, Kabir Bedi, Nick Brown",Thriller/Romance
*Raajneeti*,Prakash Jha,"Ajay Devgan, Ranbir Kapoor, Arjun Rampal, Nana Patekar, Katrina Kaif, Manoj 
Bajpai, Naseeruddin Shah, Sarah Thompson",Drama/Political Thriller
*Ek Second... Jo Zindagi Badal De?*,Partho Ghosh,"Jackie Shroff, Manisha Koirala, Aman Verma",Thriller
*Raavan*,Mani Ratnam,"Vikram, Abhishek Bachchan, Aishwarya Rai, Govinda, Nikhil Dwivedi",Action/Romance
*Krantiveer - The Revolution*,Mehul Kumar,"Jahan Bloch, Sameer Aftab",Action
*Mr. Singh / Mrs. Mehta*,Pravesh Raman,"Aruna Shields, Prashant Narayanan",Drama
*I Hate Luv Storys*,Punit Malhotra,"Imran Khan, Sonam Kapoor, Sameer Dattani, Aamir Ali",Romance
*Milenge Milenge*,Satish Kaushik,"Kareena Kapoor, Shahid Kapoor, Aarti Chabria",Romance
*Red Alert: The War Within*,Anant Mahadevan,"Sunil Shetty, Vinod Khanna, Naseeruddin Shah, Sameera Reddy",Action
*Lamhaa*,Rahul Dholakia,"Sanjay Dutt, Bipasha Basu, Kunal Kapoor, Anupam Kher",Action
*Tere Bin Laden*,Abhishek Sharma,"Ali Zafar, Barry John,Nikhil Ratnaparkhi",Comedy
*Udaan*,Vikramaditya Motwane,"Ronit Roy, Rajat Barmecha",Drama
*Khatta Meetha*,Priyadarshan,"Akshay Kumar, Trisha Krishnan, Rajpal Yadav, Johnny Lever, Urvashi Sharma","Comedy, Drama, Romance"
