Title,Genre,Director,Cast
*Mr Joe B. Carvalho*,Comedy,Samir Tewari,"Arshad Warsi, Soha Ali Khan, Javed Jaffrey, Vijay Raaz"
*Sholay 3D*,Action/Adventure,Ramesh Sippy,"Dharmendra, Amitabh Bachchan, Hema Malini, Jaya Bhaduri, Sanjeev Kumar, Amjad 
Khan, A.K. Hangal"
*Dedh Ishqiya*,Black Comedy/Thriller,Abhishek Chaubey,"Naseeruddin Shah, Arshad Warsi, Madhuri Dixit, Huma Qureshi"
*Yaariyan*,Romance,Divya Khosla Kumar,"Himansh Kohli, Shreyas Porus Pardiwalla, Dev Sharma, Nicole Faria, Rakul 
Preet Singh"
*Karle Pyaar Karle*,Romance,Rajesh Pandey,"Shiv Darshan, Hasleen Kaur"
*Miss Lovely*,Drama,Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh"
*Om-Dar-Ba-Dar*,Experimental,Kamal Swaroop,"Aditya Lakhia, Manish Gupta, Anita Kanwar, Gopi Desai"
*Paranthe Wali Gali*,Romantic comedy,Sachin Gupta,"Anuj Saxena, Neha Pawar, Mohinder Gujral, Vijayant Kohli, Himanshu Thakkar, 
Yuvraj Haral"
*Strings Of Passion*,Drama,Sanghamitra Chaudhari,"Zeenat Aman, Indrani Haldar, Shubh Mukherjee, Rajesh Sharma"
*Jai Ho*,Action - comedy,Sohail Khan,"Salman Khan, Daisy Shah, Tabu, Sana Khan, Danny Denzongpa, Mohnish Behl, Vatsal 
Seth, Suniel Shetty, Genelia D'Souza"
*One by Two*,Romance/Comedy,Devika Bhagat,"Abhay Deol, Preeti Desai, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, 
Lilette Dubey, Anish Trivedi"
*Babloo Happy Hai*,Comedy,Nila Madhab Panda,"Sahil Anand, Erica Fernandes, Preet Kamal, Sumit Suri, Amol Parashar, 
Reyhna Malhotra, Parvin Dabas, Anu Choudhury, Pooja Tawde, Khusbhoo 
Purohit, Mika Singh"
*Hasee Toh Phasee*,Romance/Comedy,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma"
*Heartless*,Thriller,Shekhar Suman,"Adhyayan Suman, Ariana Ayam, Om Puri, Deepti Naval, Madan Jain, Shekhar 
Suman"
*Ya Rab*,Drama/Social,Hasnain Hyderabadwala,"Manzar Sehbai, Ajaz Khan, Akhilendra Mishra, Raju Kher, Kishori Shahane, Vikram 
Singh"
*Gunday*,Action,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra, Irrfan Khan"
*Kaho Na Kaho*,Social,Sanjay Niranjan,"Sikandar, Roshni, Raja"
*Darr @ the Mall*,Horror,Pawan Kripalani,"Jimmy Shergill, Nushrat Bharucha, Arif Zakaria, Asif Basra, Nivedita 
Bhattacharya"
*Dee Saturday Night*,Drama,Jay Prakash,"Prashant Narayanan, Arif Zakaria, Aman Verma, Mahi Khanduri, Gaurav Dixit, Nazneen 
Patel"
*Gulabi Gang (film)*,Documentary,Nishtha Jain,Sampat Pal Devi
*Highway*,Drama/Romance,Imtiaz Ali,"Randeep Hooda, Alia Bhatt"
*Karar — The Deal*,Thriller,Sabir,"Tarun Arora, Mahek Chahal, Jyothi Rana"
*Pyar Ka Live Show*,Drama,Shailendra Singh Rajput,"Ishrat Ali, Rudraksh Pundhir, Rajni Mehta, Upasana Singh, Mushtaq Khan, Adi 
Irani, Shiva Rindan"
*The Dark Secrets Of Tonhi*,Drama/Action,Shiraz Henry,"Natasha Sikka, J. Brandon Hill, Alex Peters, Smitha Siah, Priyanka Joshi"
*Anuradha*,Drama,Raju Mavani,"Sachin Khedekar, Smita Jaykar, Disha Choudhary, Shagun Sharma, Rahul Jain, Manoj 
Joshi, Kishori Shahane, Hrishitaa Bhatt, Aakash Sharma, Raju Mavani, Ganesh 
Acharya, Manoj Tiwari, Prashant Upadhyay"
*Shaadi Ke Side Effects*,Romance/Comedy,Saket Chaudhary,"Farhan Akhtar, Vidya Balan, Vir Das, Ram Kapoor, Gautami Kapoor, Ila Arun, 
Hariharan, Purab Kohli, Rati Agnihotri"
*Gulaab Gang*,Social/Action,Soumik Sen,"Madhuri Dixit, Juhi Chawla"
*Queen*,Romance/Drama,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon"
*Total Siyappa*,Drama/Comedy,E Niwas,"Ali Zafar, Yami Gautam, Sara Khan, Anupam Kher, Kiron Kher"
*Bewakoofiyaan*,Romance,Nupur Asthana,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor"
*Neighbours*,Horror,Shyam Ramsay,"Arbaaz Ali Khan, Roushika Reikhi, Shakti Kapoor, Gavie Chahal, Rufy Khan, 
Hritu Dudani, Kirti Vaidhya, Prince Sodhi, Sunny Singh"
*W*,Thriller,Tarun Madan Chopra,"Lezlie Tripathy, Sonal Giani, Raj Singh Arora, Abhey Attri and Danish"
*Ankhon Dekhi*,Comedy,Rajat Kapoor,"Sanjay Mishra, Rajat Kapoor, Samit Das, Brijendra Kala"
*Gang of Ghosts*,Horror Comedy,Satish Kaushik,"Parambrata Chatterjee, Sharman Joshi, Mahie Gill, Anupam Kher, Meera Chopra, 
Saurabh Shukla, Chunky Pandey"
*Lakshmi*,Drama,Nagesh Kukunoor,"Monali Thakur, Satish Kaushik, Shefali Shetty, Ram Kapoor"
*Ragini MMS 2*,Horror/Adult,Bhushan Patel,"Sunny Leone, Parvin Dabas, Divya Dutta"
*Dishkiyaoon*,Action,Sanamjit Talwar,"Sunny Deol, Harman Baweja, Ayesha Khanna, Prashant Narayanan"
*O Teri*,Comedy,Umesh Bist,"Pulkit Samrat, Sarah-Jane Dias, Bilal Amrohi, Anupam Kher, Mandira Bedi, Vijay 
Raaz, Manoj Pahwa"
*Station: The Film*,Thriller,Saad Khan,"Sameer Kevin Roy, Kanika Batra, Vibhinta Verma, and Siddhanth Sundar"
*Youngistaan*,Drama,Syed Ahmad Afzal,"Jackky Bhagnani, Neha Sharma, Farooq Sheikh, Boman Irani"
*Ebn-E-Batuta*,Sci-fi/Comedy,Varun Middha,"Omkar Das Manikpuri, Rajeev Verma, Dev Gohar, Satyendra Khare, Nazea Sayed, 
Neelam Singh"
*Honour Killing*,Social,Avtar Bhogal,"Zara Sheikh, Sandeep Singh, Tom Alter, Gulshan Grover, Prem Chopra"
*Jal*,Drama/Fantasy,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma"
*Main Tera Hero*,Comedy,David Dhawan,"Varun Dhawan, Ileana D'Cruz, Nargis Fakhri, Abhimanyu Singh, Evelyn Sharma"
*Bhoothnath Returns*,Fantasy/Children,Nitesh Tiwari,"Amitabh Bachchan, Parth Bhalerao, Boman Irani, Anurag Kashyap, Usha Jadhav"
*2 States*,Romance,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh"
*Dekh Tamasha Dekh*,Comedy,Feroz Abbas Khan,"Satish Kaushik, Ganesh Yadav"
*Lucky Kabootar*,Romance/Comedy,Shammi Chhabra,"Ravi Kishan, Eijaz Khan, Kulraj Randhawa, Shraddha Das, Sanjai Mishra, 
Madhavi Sharma"
*Kaanchi...*,Musical/Drama,Subhash Ghai,"Mishti, Kartik Tiwari, Rishi Kapoor, Mithun Chakraborty"
*Revolver Rani*,Drama,Sai Kabir,"Kangana Ranaut, Vir Das, Piyush Mishra, Zakir Hussain"
*Samrat & Co.*,Mystery/Thriller/Drama,Kaushik Ghatak,"Rajeev Khandelwal, Madalasa Sharma"
*Purani Jeans*,Romance/Drama,Tanushri Chattrji Bassu,"Tanuj Virwani, Aditya Seal, Izabelle Leite, Sarika, Rati Agnihotri"
*Kya Dilli Kya Lahore*,Social,Vijay Raaz,"Vijay Raaz, Manu Rishi, Raj Zutshi, Vishwajeet Pradhan"
*Angry Young Man*,Action,Ramesh Rout,"Ajay Sinh Rathod, Prachi Sinha"
*Kahin Hai Mera Pyar*,Romance,Mahesh Vaijnath Doijode,"Abhishek Sethiya, Sonia Mann, Sanjay Kapoor, Jackie Shroff"
*Hawaa Hawaai*,Drama,Amole Gupte,"Partho Gupte, Saqib Saleem, Pragya Yadav"
*Khwaabb*,Romance/Drama,Zaid Ali Khan,"Navdip Singh, Simer Motiani, Nafisa Ali, Bajrang Bali Singh"
*Koyelaanchal*,Action,Ashu Trikha,"Vinod Khanna, Suniel Shetty, Vipino"
*Manjunath*,Drama,Sandeep A. Varma,"Divya Dutta, Seema Biswas, Asif Basra, Yashpal Sharma"
*Mastram*,Adult,Akhilesh Jaiswal,"Rahul Bagga, Tasha Berry"
*Yeh Hai Bakrapur*,Comedy,Janaki Vishwanathan,"Anshuman Jha, Asif Basra, Amit Sial, Uttkarsh Majumdar, Faiz Mohammad, 
Suruchi Aulakh, Yaushika Verma, Shameem Khan"
*The Xposé*,Thriller,Anant Mahadevan,"Himesh Reshammiya, Zoya Afroz, Sonali Raut, Yo Yo Honey Singh, Adil Hussain"
*Children of War*,Drama,Mrityunjay Devvrat,"Farooque Shaikh, Victor Bannerjee, Pawan Malhotra, Indraneil Sengupta"
*M3 - Midsummer Midnight Mumbai*,Mystery,Braj Bhushan,"Paras Chhabra, Sara Khan, M.A. Guddu, Pooja Thakur"
*Heropanti*,Romance/Action,Sabbir Khan,"Tiger Shroff, Kriti Sanon"
*Kochadaiiyaan*,Action,Soundarya Rajnikanth,"Rajinikanth, Deepika Padukone, Jackie Shroff, Shobana"
*Citylights*,Drama,Hansal Mehta,"Rajkummar Rao, Patralekha"
*Kuku Mathur Ki Jhand Ho Gayi*,Comedy,Aman Sachdeva,"Siddharth Gupta, Simran Kaur Mundi, Pallavi Batra"
*Filmistaan*,Comedy,Nitin Kakkar,"Sharib Hashmi, Inaamulhaq, Kumud Mishra, Gopal Dutt"
*Holiday*,Action/Thriller,A.R. Murugadoss,"Akshay Kumar, Sonakshi Sinha, Govinda"
*Fugly*,Comedy/Drama,Kabir Sadanand,"Jimmy Shergill, Mohit Marwah, Kiara Advani, Vijender Singh, Arfi Lamba"
*Machhli Jal Ki Rani Hai*,Horror,Debaloy Dey,"Bhanu Uday, Swara Bhaskar, Murli Sharma, Reema Debnath, Sakha Kalyani Deepraj 
Rana"
*Humshakals*,Comedy/Drama/Romance,Sajid Khan,"Saif Ali Khan, Esha Gupta, Riteish Deshmukh, Bipasha Basu, Ram Kapoor, Tamannaah 
Bhatia"
*Ek Villain*,Romance/Thriller,Mohit Suri,"Sidharth Malhotra, Riteish Deshmukh, Shraddha Kapoor, Aamna Sharif"
*Bobby Jasoos*,Comedy/Drama,Samar Shaikh,"Vidya Balan, Ali Fazal, Arjan Bajwa, Anupriya Kapoor, Supriya Pathak, Tanvi 
Azmi"
*Lekar Hum Deewana Dil*,Romance/Comedy,Arif Ali,"Armaan Jain, Deeksha Seth, Nikita Dutta"
*Humpty Sharma Ki Dulhania*,Romance/Comedy,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Siddharth Shukla"
*Hate Story 2*,Thriller,Vishal Pandya,"Surveen Chawla, Sushant Singh, Jay Bhanushali, Siddharth Kher, Rajesh Khera"
*Bazaar-E-Husn*,Drama,Ajay Mehra,"Om Puri, Reshmi Ghosh, Yashpal Sharma, Jeet Goshwami"
*Riyasat*,Drama/Action,Ashok Tyagi,"Rajesh Khanna, Aryaman Ramsay, Aryan Vaid, Raja Murad, Vishwajit Pradhan"
*Amit Sahni Ki List*,Romance/Comedy,Ajay Bhuyan,"Vir Das, Vega Tamotia, Anindita Nayar, Kavi Shastri"
*Pizza*,Horror,Akshay Akkineni,"Akshay Oberoi, Parvathy Omanakuttan, Dipannita Sharma"
*Kick*,Action/Comedy,Sajid Nadiadwala,"Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui, Randeep Hooda"
*Entertainment*,Comedy,Sajid-Farhad,"Akshay Kumar, Tamannaah Bhatia, Prakash Raj, Sonu Sood, Mithun Chakraborty"
*Singham Returns*,Action,Rohit Shetty,"Ajay Devgn, Kareena Kapoor Khan, Amol Gupte, Anupam Kher"
*Life is Beautiful!*,Romance,Manoj Amarnani,"Manoj Amarnani, Anokhi Dalvi, Nancy Brunetta, Parth Naik, Raj Zutshi"
